id	premise	hypothesis	label	label_text	url	genre
a001	Le camion-remorque de la vidéo transporte un long tube cylindrique, qui est une pièce destinée à une raffinerie de pétrole en Ouzbékistan.	Le camion-remorque de la vidéo transporte un missile nucléaire russe.	1	contradiction	https://factuel.afp.com/doc.afp.com.32MJ3M7-1	conflit ukrainien-russe
a002	Des supporters ukrainiens ont été arrêtés au Qatar après avoir inscrit des symboles nazis sur un visuel de la mascotte du Mondial de football, La'eeb.	La'eeb est la mascotte du Mondial de football ayant lieu à Qatar.	0	compatibles	https://factuel.afp.com/doc.afp.com.32T24BT	conflit ukrainien-russe
a003	D’après Al-Jazeera, les autorités qataries ont arrêté des Ukrainiens qui ont peint la moustache d'Hitler sur le symbole de la Coupe du monde sur des affiches.	Al-Jazeera rapporte que des Ukrainiens ont été arrêtés par les autorités qataries pour avoir dessiné la moustache d'Hitler sur le symbole de la Coupe du monde.	0	compatibles	https://factuel.afp.com/doc.afp.com.32T24BT	conflit ukrainien-russe
a004	L'Ukraine, défaite par le Pays de Galles en match de qualification, le 5 juin 2022, ne participe pas au Mondial et le ministère de l'Intérieur du Qatar n'a signalé aucune arrestation de supporters ukrainiens.	L'Ukraine est absente à cette Coupe du monde à Qatar.	0	compatibles	https://factuel.afp.com/doc.afp.com.32T24BT	conflit ukrainien-russe
a005	L'Ukraine, défaite par le Pays de Galles en match de qualification, le 5 juin 2022, ne participe pas au Mondial et le ministère de l'Intérieur du Qatar n'a signalé aucune arrestation de supporters ukrainiens.	Le ministère de l'Intérieur du Qatar a fait une annonce d'arrestation de supporters ukrainiens par les autorités qataries le 5 juin 2022.	1	contradiction	https://factuel.afp.com/doc.afp.com.32T24BT	conflit ukrainien-russe
a006	Al-Jazeera rapporte que des Ukrainiens ont été arrêtés par les autorités qataries pour avoir dessiné la moustache d'Hitler sur le symbole de la Coupe du monde.	" Al-Jazeera ne mentionne aucune arrestation d’Ukrainiens à Qatar mais simplement le fait que des ""habitants n'ont pas apprécié la plaisanterie des Ukrainiens et ont appelé la police"". "	1	contradiction	https://factuel.afp.com/doc.afp.com.32T24BT	conflit ukrainien-russe
a007	" Un arbre de Noël a été illuminé dans la ville lettone de Lielvārde. Il est orné de plusieurs ugunskrusts (""croix de feu""), un symbole immémorial des peuples baltes, qui faisait partie du folklore letton bien avant que le régime nazi s'en empare. "	Les croix de feu sur l’arbre de Noël à Lielvārde sont un symbole folklorique balte antérieur au nazisme.	0	compatibles	https://factuel.afp.com/doc.afp.com.32YW4AQ	conflit ukrainien-russe
a008	" La polémique autour de l’installation d’un sapin de Noël décoré d'une ""croix gammée"" à Lielvārde en Lettonie a été alimentée sur Telegram uniquement par l'ambassade de Russie en Lettonie, dans un contexte de tensions entre l'ancienne république soviétique et le Kremlin à propos de l'invasion russe de l'Ukraine.  "	Ce sont les ambassades des pays de l’UE qui ont alimenté la polémique autour du sapin de Noël à Lielvārde sur Telegram.	1	contradiction	https://factuel.afp.com/doc.afp.com.32YW4AQ	conflit ukrainien-russe
a009	" Dans la mythologie lettone, des différentes significations sont prêtées à la 'croix de feu' selon son orientation : ""tournée vers la droite : Pērkons (""Tonnerre"", ""La croix du Tonnerre""), tournée vers la gauche : Laima (""bonne fortune""), avec des ramifications Zars (""branche"") qui symbolise le bonheur, inscrite dans un cercle, avec les pointes effilées Ķeksis (""cochet"").""  "	Une croix de feu tournée vers la droite signifie la bonne fortune, selon la mythologie lettone.	1	contradiction	https://factuel.afp.com/doc.afp.com.32YW4AQ	conflit ukrainien-russe
a010	Les Russes de Lettonie constituent environ 30% de la population de l'État balte et se réunissent chaque année le 9 mai pour commémorer la victoire de 1945 contre l'Allemagne nazie. 	La Lettonie est composée de 30% de Russes.	0	compatibles	https://factuel.afp.com/doc.afp.com.32YW4AQ	conflit ukrainien-russe
